Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.836,0.0,0.639,0.361,Mon Jan 08 01:57:36 +0000 2018,#GoldenGlobes: Actress Elisabeth Moss wins best actress in a drama series for her role in @handmaidsonhulu… https://t.co/hh9HYeX6rh,83,BBCWorld
0.25,0.0,0.6,0.4,Mon Jan 08 01:03:48 +0000 2018,Plays behind bars https://t.co/K2Lx1O5qCs,84,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 01:00:39 +0000 2018,Out of power https://t.co/INCQoUPxgd,85,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 00:56:59 +0000 2018,Tattooist of Auschwitz https://t.co/uycegYsPx8,86,BBCWorld
-0.5255,0.531,0.469,0.0,Mon Jan 08 00:49:20 +0000 2018,"Bigly, covfefe, sad! https://t.co/QJ8MnsPhvM",87,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 00:45:50 +0000 2018,Child bride to wrestling star https://t.co/pJvS8sMkH6,88,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 00:45:50 +0000 2018,Dubai to build new record-breaking skyscraper https://t.co/1bihFI529P,89,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 00:34:44 +0000 2018,"A blackout on the Red Carpet for the 75th #GoldenGlobes:
Celebrities are dressed from head to toe in black to in su… https://t.co/ZRIkBTmMB8",90,BBCWorld
-0.8126,0.425,0.575,0.0,Sun Jan 07 23:48:35 +0000 2018,Syria war: Explosion reportedly kills at least 23 in rebel-held Idlib https://t.co/tmLUnASoyN,91,BBCWorld
-0.7003,0.42,0.58,0.0,Sun Jan 07 23:28:26 +0000 2018,Brazil drug lord accused of deadly jail riot seized https://t.co/XAbbeaCCvo,92,BBCWorld
0.0,0.0,1.0,0.0,Sun Jan 07 19:02:10 +0000 2018,Israel dig unearths prehistoric 'paradise' https://t.co/AnliOKszrK,93,BBCWorld
0.1027,0.245,0.472,0.283,Sun Jan 07 18:24:10 +0000 2018,Ireland hosts festive tree throwing battle https://t.co/7upSKkFntg,94,BBCWorld
-0.7269,0.466,0.534,0.0,Sun Jan 07 17:28:47 +0000 2018,Fire and Fury: Trump allies dismiss 'fantasy book' https://t.co/nQK19Golof,95,BBCWorld
0.0258,0.141,0.706,0.153,Sun Jan 07 17:24:52 +0000 2018,Egypt's ex-PM backs out of Sisi challenge https://t.co/p7HUNkeugg,96,BBCWorld
-0.7322,0.323,0.677,0.0,Sun Jan 07 17:22:12 +0000 2018,"""The smoke is so thick... it's blocking out the sun"" - South Australia fire tears through farm land… https://t.co/dbVe4f9hPr",97,BBCWorld
-0.4019,0.231,0.769,0.0,Sun Jan 07 16:27:02 +0000 2018,RT @BBC_HaveYourSay: Iranian unrest is unleashed on a new battleground https://t.co/asrfWWIyMd,98,BBCWorld
-0.3182,0.292,0.511,0.197,Sun Jan 07 15:49:42 +0000 2018,Boris Becker responds to 'clearly racist' AfD tweet https://t.co/4fznvJB4Rs,99,BBCWorld
0.4939,0.0,0.738,0.262,Sun Jan 07 14:31:33 +0000 2018,Stockholm station blast: Man dies in 'hand grenade' explosion https://t.co/SOey7jyCea,100,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 18:07:57 +0000 2018,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,1,CBS
0.0,0.0,1.0,0.0,Mon Jan 08 14:34:48 +0000 2018,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",2,CBS
0.0,0.0,1.0,0.0,Mon Jan 08 14:29:20 +0000 2018,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,3,CBS
0.0,0.0,1.0,0.0,Mon Jan 08 00:29:51 +0000 2018,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,4,CBS
0.0,0.0,1.0,0.0,Sat Jan 06 20:05:17 +0000 2018,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",5,CBS
0.8271,0.0,0.686,0.314,Sat Jan 06 19:04:08 +0000 2018,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,6,CBS
-0.7717,0.226,0.774,0.0,Sat Jan 06 19:03:38 +0000 2018,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,7,CBS
0.0,0.0,1.0,0.0,Sat Jan 06 00:37:55 +0000 2018,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",8,CBS
0.0,0.0,1.0,0.0,Sat Jan 06 00:30:53 +0000 2018,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,9,CBS
0.0,0.0,1.0,0.0,Fri Jan 05 18:30:42 +0000 2018,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",10,CBS
0.0,0.0,1.0,0.0,Fri Jan 05 16:05:58 +0000 2018,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",11,CBS
